Judul Berita,Label
"
Perpanjangan Kontrak Vale 20 Tahun di RI Diproses, Ini Bocorannya
",Positif
"
Antisipasi Mudik Lebaran, Pertamina Siapkan SPBU-Agen LPG Tambahan
",Positif
"
Vale Garap 3 Proyek Nikel di Sulawesi, Smelter Rampung 2026
",Positif
"
Pemantauan Kesiapan Stok BBM Jelang Lebaran
",Netral
"
Bocoran Hasil Pertemuan Bos Besar Freeport dengan Jokowi di Istana
",Netral
"
Catat! Potongan Pajak Gaji Bisa Dicek, Lebih Bayar Tagih ke Kantor
",Netral
"
Terkuak Alotnya Negosiasi Tambahan 10% Saham Freeport buat RI
",Negatif
"
Potret Sibuknya Pengiriman Barang Jelang Lebaran
",Netral
"
Apa Perbedaan Kripto dan Bitcoin? Pahami Sebelum Berinvestasi
",Netral
"
Vale Tunggu IUP Khusus Terbit, Singgung Koordinasi ESDM & BKPM
",Netral
"
WIKA Pastikan Tol Serang-Panimbang Aman Dilewati Pemudik, Ini Daya Tariknya
",Positif
"
Bahlil Ungkap Tak Bisa Cuma Dirinya Aktifkan IUP yang Dicabut, Ada Tim Satgas
",Netral
"
Pengecatan Marka Jalan Pantura untuk Mudik Aman
",Netral
"
4 SPBU Nakal Ditutup, Pemeriksaan Polisi Masih Berjalan
",Negatif
"
Kemenhub Minta Warga Tak Beli Tiket Mudik Gratis di Calo!
",Negatif
"
Untung Rp 214 M, Adhi Karya Tak Bagi Deviden ke Pemegang Saham
",Negatif
"
YUKK Payment Gateway Targetkan Transaksi QRIS di JakCloth 2024 Meningkat
",Positif
"
Satgas Sita Aset Pengemplang BLBI, Kali Ini Senilai Rp 257 Miliar
",Positif
"
Bos Adhi Karya Buka Suara Soal Rencana Penggabungan BUMN Karya
",Netral
"
Menteri PUPR Jamin PIK 2 & BSD Tak Pakai Duit Negara Meski Masuk PSN
",Netral
"
Jurus YUKK Payment Gateway Jamin Transaksi QRIS di JakCloth Aman
",Netral
"
Berlaku Juli 2024, Hampir Semua NIK Sudah Jadi NPWP
",Netral
"
Adhi Karya Terima Pembayaran LRT Jabodebek Rp 4,1 T, Masih Kurang Rp 2,2 T
",Netral
"
Malaysia Gratiskan Tol Saat Mudik Lebaran, Kok RI Nggak Ikutan?
",Negatif
"
LRT Jabodebek Alami Masalah Pengereman, Kini Sedang Diperbaiki
",Negatif
"
Diskon Tarif Tol Tangerang-Merak, Cikopo-Palimanan, hingga Jombang-Mojokerto
",Positif
"
Pertamina Siagakan Satgas RAFI 2024
",Netral
"
Rp 31 Triliun Duit Negara Sudah Mengalir buat THR PNS-Pensiunan
",Positif
"
Anggota DPR Minta Bahlil Cabut Izin Tambang yang Terkait Suami Sandra Dewi
",Negatif
"
Bahlil Jawab Faisal Basri yang Jadi Saksi di MK soal Politisasi Bansos
",Netral
"
Bentuk Satgas RAFI, Pertamina Pastikan Stok BBM Aman Selama Libur Lebaran
",Positif
"
7 Ruas Tol Baru Dibuka Fungsional buat Mudik Lebaran
",Positif
"
Libur Idul Fitri, BSI Siapkan Uang Tunai Rp 45 Triliun
",Positif
"
Rekor Terbesar dalam Sejarah! Kemenag Buka 110.553 Lowongan CPNS dan PPPK
",Positif
"
Ternyata Ini 3 Biang Kerok Produksi Beras RI Turun
",Negatif
"
Anggota DPR Doakan Basuki Masuk Kabinet Pemerintahan Berikutnya
",Netral
"
Basuki Harap Sri Mulyani Setujui Dana Rp 15 T buat Perbaiki Jalan Rusak
",Netral
"
Dukung Efisiensi-Pemerataan Solar, KB Bank Luncurkan Fuel Card Solar Subsidi
",Positif
"
Zulhas Terbitkan Izin Impor Bawang Putih 300 Ribu Ton, Kok Harga Masih Mahal?
",Negatif
"
Bahlil Pamer Selesaikan Investasi Mangkrak Rp 558 Triliun
",Positif
"
Basuki Buka-Bukaan Perintah Jokowi di 2024: Benahi 32 Pasar dan Stadion MU
",Netral
"
Pemerintah Siapkan Rp 35,45 T buat Infrastruktur Dasar IKN, Ini Rinciannya
",Netral
"
Garuda Raup Laba Rp 4 Triliun, Ini Pemicunya
",Positif
"
Bahlil Bongkar Alasan Cabut 2.051 Izin Tambang
",Negatif
"
Heboh Dugaan Upeti Tambang, Bahlil Jelaskan Ini ke DPR
",Negatif
"
Ngeri... Harta Warga Hong Kong Dikuras Rp 276 M dalam Seminggu Gegara Ini
",Negatif
"
Maybank Indonesia Siap Tebar Dividen Rp 785 M
",Positif
"
Jokowi Target 16 Ruas Tol Trans Sumatera Rampung di Akhir 2024
",Positif
"
Bayang Inflasi Jelang Idul Fitri
",Negatif
"
Basuki Pamer Pembangunan Infrastruktur Dasar IKN Rp 24,97 T, Apa Saja?
",Netral
"
Hati-hati! Marak Info Loker Bodong Atas Nama Telkom, Ini yang Benar
",Negatif
"
Kunjungan Turis Asing di RI Naik, tapi Belum Lewati Masa Sebelum COVID-19
",Netral
"
BAZNAS RI Tetapkan Besaran Zakat Fitrah 2024 Rp 45 Ribu
",Netral
"
Nasabah Ngeluh Transfer BI Fast M-Banking Eror, Begini Penjelasan BCA
",Negatif
"
Asyik! Pengusaha Ungkap Sinyal Harga Beras Mulai Turun
",Positif
"
Rupiah Digencet, Dolar AS Nyaris Tembus Rp 16.000!
",Negatif
"
Masihkah Orang RI Beli HP Baru buat Lebaran? Ini Kata Pedagang
",Netral
